,Kmeans from PCA,Scaffold Split,Kmeans of Scaffold Split
0,1.0,0.0,0.0
1,3.0,0.0,2.0
2,4.0,0.0,3.0
3,1.0,0.0,0.0
4,1.0,0.0,3.0
5,3.0,0.0,2.0
6,1.0,0.0,0.0
7,2.0,0.0,1.0
8,1.0,0.0,0.0
9,1.0,0.0,0.0
10,1.0,0.0,0.0
11,3.0,0.0,2.0
12,1.0,0.0,0.0
13,1.0,0.0,0.0
14,1.0,0.0,0.0
15,1.0,0.0,0.0
16,3.0,0.0,2.0
17,1.0,0.0,0.0
18,1.0,0.0,0.0
19,3.0,0.0,2.0
20,3.0,0.0,2.0
21,4.0,0.0,3.0
22,3.0,0.0,2.0
23,3.0,0.0,2.0
24,1.0,0.0,0.0
25,3.0,0.0,2.0
26,3.0,0.0,2.0
27,2.0,0.0,1.0
28,1.0,0.0,0.0
29,3.0,0.0,2.0
30,3.0,0.0,2.0
31,3.0,0.0,2.0
32,1.0,0.0,0.0
33,1.0,0.0,0.0
34,3.0,0.0,2.0
35,1.0,0.0,0.0
36,1.0,0.0,0.0
37,3.0,0.0,2.0
38,3.0,0.0,2.0
39,1.0,0.0,0.0
40,1.0,0.0,0.0
41,1.0,0.0,0.0
42,3.0,0.0,2.0
43,3.0,0.0,2.0
44,1.0,0.0,0.0
45,1.0,0.0,0.0
46,3.0,0.0,2.0
47,1.0,0.0,0.0
48,1.0,0.0,0.0
49,1.0,0.0,0.0
50,4.0,0.0,3.0
51,1.0,0.0,0.0
52,1.0,0.0,0.0
53,1.0,0.0,0.0
54,4.0,0.0,3.0
55,1.0,0.0,0.0
56,3.0,0.0,2.0
57,1.0,0.0,0.0
58,1.0,0.0,0.0
59,2.0,0.0,1.0
60,1.0,0.0,0.0
61,3.0,0.0,2.0
62,1.0,0.0,0.0
63,3.0,0.0,2.0
64,1.0,0.0,0.0
65,3.0,0.0,2.0
66,3.0,0.0,2.0
67,1.0,2.0,0.0
68,1.0,0.0,0.0
69,1.0,0.0,0.0
70,1.0,0.0,0.0
71,3.0,0.0,2.0
72,2.0,0.0,1.0
73,2.0,0.0,1.0
74,1.0,0.0,0.0
75,1.0,0.0,0.0
76,3.0,0.0,2.0
77,3.0,0.0,2.0
78,1.0,0.0,0.0
79,3.0,0.0,2.0
80,1.0,0.0,0.0
81,1.0,0.0,0.0
82,1.0,0.0,0.0
83,3.0,0.0,2.0
84,2.0,0.0,1.0
85,1.0,0.0,0.0
86,4.0,0.0,3.0
87,1.0,0.0,0.0
88,1.0,0.0,0.0
89,3.0,0.0,2.0
90,1.0,0.0,0.0
91,4.0,0.0,3.0
92,3.0,0.0,2.0
93,1.0,0.0,0.0
94,1.0,0.0,0.0
95,3.0,0.0,2.0
96,1.0,0.0,0.0
97,1.0,0.0,0.0
98,1.0,0.0,0.0
99,4.0,0.0,3.0
100,3.0,0.0,2.0
101,3.0,0.0,2.0
102,3.0,0.0,2.0
103,4.0,0.0,3.0
104,1.0,0.0,0.0
105,1.0,0.0,0.0
106,1.0,0.0,0.0
107,1.0,0.0,0.0
108,1.0,0.0,0.0
109,4.0,0.0,3.0
110,1.0,0.0,0.0
111,3.0,0.0,2.0
112,1.0,0.0,0.0
113,1.0,0.0,0.0
114,1.0,0.0,0.0
115,4.0,0.0,3.0
116,1.0,0.0,0.0
117,3.0,0.0,2.0
118,4.0,0.0,3.0
119,3.0,0.0,2.0
120,1.0,0.0,0.0
121,3.0,0.0,2.0
122,1.0,0.0,0.0
123,1.0,0.0,0.0
124,3.0,0.0,2.0
125,3.0,0.0,2.0
126,1.0,0.0,0.0
127,1.0,0.0,0.0
128,3.0,0.0,2.0
129,1.0,0.0,0.0
130,3.0,0.0,2.0
131,0.0,0.0,4.0
132,4.0,0.0,3.0
133,1.0,0.0,0.0
134,2.0,0.0,1.0
135,3.0,0.0,2.0
136,1.0,0.0,0.0
137,3.0,0.0,2.0
138,4.0,0.0,3.0
139,1.0,0.0,0.0
140,3.0,0.0,2.0
141,1.0,0.0,0.0
142,3.0,0.0,2.0
143,1.0,0.0,0.0
144,3.0,0.0,2.0
145,1.0,0.0,0.0
146,1.0,0.0,0.0
147,1.0,0.0,0.0
148,1.0,0.0,0.0
149,1.0,0.0,0.0
150,1.0,0.0,0.0
151,1.0,0.0,0.0
152,1.0,0.0,0.0
153,4.0,0.0,3.0
154,1.0,0.0,0.0
155,1.0,0.0,0.0
156,3.0,0.0,2.0
157,3.0,0.0,2.0
158,1.0,0.0,0.0
159,1.0,0.0,0.0
160,1.0,0.0,0.0
161,3.0,0.0,2.0
162,3.0,0.0,2.0
163,3.0,0.0,2.0
164,1.0,0.0,0.0
165,3.0,0.0,2.0
166,3.0,0.0,2.0
167,1.0,0.0,0.0
168,3.0,0.0,2.0
169,3.0,0.0,2.0
170,1.0,0.0,0.0
171,3.0,0.0,2.0
172,1.0,0.0,0.0
173,1.0,0.0,0.0
174,3.0,0.0,2.0
175,1.0,0.0,0.0
176,1.0,0.0,0.0
177,1.0,0.0,0.0
178,1.0,0.0,0.0
179,1.0,0.0,0.0
180,1.0,0.0,0.0
181,3.0,0.0,2.0
182,1.0,0.0,0.0
183,1.0,0.0,0.0
184,1.0,0.0,0.0
185,3.0,0.0,2.0
186,1.0,0.0,0.0
187,1.0,0.0,0.0
188,1.0,0.0,0.0
189,3.0,0.0,2.0
190,1.0,0.0,0.0
191,1.0,0.0,0.0
192,1.0,0.0,0.0
193,1.0,0.0,0.0
194,1.0,0.0,0.0
195,1.0,0.0,0.0
